AccSpeciesID,ObservationID,AccSpeciesName1,Longitude,Latitude,LDMC,Leafph,FROM
855,16450,Acer pseudoplatanus,-1.5,53.4,0.367907174,,try
855,16451,Acer pseudoplatanus,-1.5,53.4,0.366692131,,try
855,16452,Acer pseudoplatanus,-1.5,53.4,0.42786601,,try
855,16453,Acer pseudoplatanus,-1.5,53.4,0.351225471,,try
855,16454,Acer pseudoplatanus,-1.5,53.4,0.365423656,,try
855,16455,Acer pseudoplatanus,-1.5,53.4,0.321766562,,try
855,16456,Acer pseudoplatanus,-1.5,53.4,0.375567235,,try
855,16457,Acer pseudoplatanus,-1.5,53.4,0.38008149,,try
855,16458,Acer pseudoplatanus,-1.5,53.4,0.339284359,,try
855,16459,Acer pseudoplatanus,-1.5,53.4,0.369617225,,try
855,16460,Acer pseudoplatanus,-1.5,53.4,0.394482836,,try
855,16461,Acer pseudoplatanus,-1.5,53.4,0.344748069,,try
855,16462,Acer pseudoplatanus,-1.5,53.4,0.37090539,,try
855,16463,Acer pseudoplatanus,-1.5,53.4,0.291713961,,try
855,16464,Acer pseudoplatanus,-1.5,53.4,0.376937964,,try
855,16465,Acer pseudoplatanus,-1.5,53.4,0.356652949,,try
855,16466,Acer pseudoplatanus,-1.5,53.4,0.340283826,,try
855,16467,Acer pseudoplatanus,-1.5,53.4,0.256596906,,try
855,16468,Acer pseudoplatanus,-1.5,53.4,0.381729879,,try
855,16469,Acer pseudoplatanus,-1.5,53.4,0.345492772,,try
855,16470,Acer pseudoplatanus,-1.5,53.4,0.334988604,,try
855,16471,Acer pseudoplatanus,-1.5,53.4,0.258445946,,try
855,16472,Acer pseudoplatanus,-1.5,53.4,0.388777976,,try
855,16473,Acer pseudoplatanus,-1.5,53.4,0.345804989,,try
855,16474,Acer pseudoplatanus,-1.5,53.4,0.373739442,,try
855,16475,Acer pseudoplatanus,-1.5,53.4,0.336658354,,try
855,16476,Acer pseudoplatanus,-1.5,53.4,0.39236137,,try
855,16477,Acer pseudoplatanus,-1.5,53.4,0.352907962,,try
855,16478,Acer pseudoplatanus,-1.5,53.4,0.374565184,,try
855,16479,Acer pseudoplatanus,-1.5,53.4,0.346153846,,try
855,16480,Acer pseudoplatanus,-1.5,53.4,0.373504509,,try
855,16481,Acer pseudoplatanus,-1.5,53.4,0.331123167,,try
855,16482,Acer pseudoplatanus,-1.5,53.4,0.395174141,,try
855,16483,Acer pseudoplatanus,-1.5,53.4,0.327749454,,try
855,16484,Acer pseudoplatanus,-1.5,53.4,0.39859507,,try
855,16485,Acer pseudoplatanus,-1.5,53.4,0.344827586,,try
855,16486,Acer pseudoplatanus,-1.5,53.4,0.38539337,,try
855,16487,Acer pseudoplatanus,-1.5,53.4,0.319642857,,try
855,16488,Acer pseudoplatanus,-1.5,53.4,0.370567849,,try
855,16489,Acer pseudoplatanus,-1.5,53.4,0.353818764,,try
855,16490,Acer pseudoplatanus,-1.5,53.4,0.37176634,,try
855,16491,Acer pseudoplatanus,-1.5,53.4,0.369526095,,try
855,16492,Acer pseudoplatanus,-1.5,53.4,0.393143177,,try
855,16493,Acer pseudoplatanus,-1.5,53.4,0.351160988,,try
855,16494,Acer pseudoplatanus,-1.5,53.4,0.363829976,,try
855,16495,Acer pseudoplatanus,-1.5,53.4,0.315719064,,try
855,16496,Acer pseudoplatanus,-1.5,53.4,0.362416509,,try
855,16497,Acer pseudoplatanus,-1.5,53.4,0.343810779,,try
855,16498,Acer pseudoplatanus,-1.5,53.4,0.362981829,,try
855,16499,Acer pseudoplatanus,-1.5,53.4,0.347826087,,try
855,16500,Acer pseudoplatanus,-1.5,53.4,0.350001115,,try
855,16501,Acer pseudoplatanus,-1.5,53.4,0.358680522,,try
855,16502,Acer pseudoplatanus,-1.5,53.4,0.380129793,,try
855,16503,Acer pseudoplatanus,-1.5,53.4,0.355536699,,try
855,16504,Acer pseudoplatanus,-1.5,53.4,0.356405326,,try
855,16505,Acer pseudoplatanus,-1.5,53.4,0.351232692,,try
855,16506,Acer pseudoplatanus,-1.5,53.4,0.367513016,,try
855,16507,Acer pseudoplatanus,-1.5,53.4,0.35703125,,try
855,16508,Acer pseudoplatanus,-1.5,53.4,0.361209125,,try
855,16509,Acer pseudoplatanus,-1.5,53.4,0.359693878,,try
7356,16660,Betula pendula,-1.5,53.4,0.413698395,,try
7356,16661,Betula pendula,-1.5,53.4,0.340680272,,try
7356,16662,Betula pendula,-1.5,53.4,0.371009942,,try
7356,16663,Betula pendula,-1.5,53.4,0.429491031,,try
7356,16664,Betula pendula,-1.5,53.4,0.341943419,,try
7356,16665,Betula pendula,-1.5,53.4,0.34950212,,try
7356,16666,Betula pendula,-1.5,53.4,0.416163243,,try
7356,16667,Betula pendula,-1.5,53.4,0.344891355,,try
7356,16668,Betula pendula,-1.5,53.4,0.359659559,,try
7356,16669,Betula pendula,-1.5,53.4,0.406185316,,try
7356,16670,Betula pendula,-1.5,53.4,0.336817654,,try
7356,16671,Betula pendula,-1.5,53.4,0.372858004,,try
7356,16672,Betula pendula,-1.5,53.4,0.413292018,,try
7356,16673,Betula pendula,-1.5,53.4,0.337552743,,try
7356,16674,Betula pendula,-1.5,53.4,0.358251996,,try
7356,16675,Betula pendula,-1.5,53.4,0.420718025,,try
7356,16676,Betula pendula,-1.5,53.4,0.34159378,,try
7356,16677,Betula pendula,-1.5,53.4,0.390417036,,try
7356,16678,Betula pendula,-1.5,53.4,0.420917575,,try
7356,16679,Betula pendula,-1.5,53.4,0.356261023,,try
7356,16680,Betula pendula,-1.5,53.4,0.360804609,,try
7356,16681,Betula pendula,-1.5,53.4,0.415655727,,try
7356,16682,Betula pendula,-1.5,53.4,0.336036598,,try
7356,16683,Betula pendula,-1.5,53.4,0.352819094,,try
7356,16684,Betula pendula,-1.5,53.4,0.394068982,,try
7356,16685,Betula pendula,-1.5,53.4,0.338961039,,try
7356,16686,Betula pendula,-1.5,53.4,0.378429518,,try
7356,16687,Betula pendula,-1.5,53.4,0.430237898,,try
